Height,Area,Depth
234.5,0,25.3
235.4,216000,24.4
236.2,821000,23.6
237.1,2560000,22.7
238,4040000,21.8
238.9,5957000,20.9
239.7,7777000,20.1
240.6,9963000,19.2
241.5,12271000,18.3
242.4,14100000,17.4
243.2,15659000,16.6
244.1,17241000,15.7
245,18990000,14.8
245.8,20082000,14
246.7,21564000,13.1
247.6,22809000,12.2
248.5,23789000,11.3
249.3,24686000,10.5
250.2,25311000,9.6
251.1,26084000,8.7
251.9,26745000,7.9
252.8,27502000,7
253.7,28064000,6.1
254.6,29022000,5.2
255.4,30154000,4.4
256.3,31530000,3.5
257.2,33404000,2.6
258.1,35179000,1.7
258.9,38308000,0.9
259.8,39866000,0
